Sample,ZFC ID,Target,Well,Data Set,Content,Type,Cq,Starting Quantity (SQ),Control,cDNA,fn,sample excluded,SQ,Absolute Quantity,Absolute Quantity SD,Mean Cq,Cq SD,Efficiency,Relative Quantity,Relative Quantity SD,Normalization Factor,Normalization Factor SD,Expression,Expression SD,Dose
96421_30,96421,SOD1,G07,FAM,Unkn-40,Unk,22.4338019359834,60.1418351255111,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,60.14183512551135,58.33393246780207,2.155291120290076,22.481791336963276,0.05777729547260293,90.94998848889404,1.3565600172335772,0.05069837134104663,1.3652506967306475,0.0314779961384804,0.9936343709489533,0.043633192725787744,30
96421_300,96421,ATP,G03,Cy5,Unkn-38,Unk,23.8134582606092,50.8545410906621,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,50.85454109066193,52.26865241892568,1.3395749763618596,23.77245253198425,0.03858531656299777,94.03659168891471,1.2033881643976208,0.030779422963922862,,,,,300
96421_300,96421,EIF,G03,HEX,Unkn-38,Unk,24.8859313040091,49.0659251840046,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,49.06592518400573,50.889937924486574,1.4986491172989191,24.828836556602774,0.046672278051281886,88.43220810680386,1.183771758997037,0.03500421063523967,,,,,300
96421_300,96421,SOD1,G03,FAM,Unkn-38,Unk,22.6802977348014,51.2780103305987,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,51.27801033059932,52.003995466164355,1.3937100295207088,22.658974517205674,0.04102273851711504,90.94998848889404,1.2096640612525167,0.032098682971768044,1.1935396617310994,0.02333200067535965,1.0135097307935546,0.03340377835577784,300
96422_10,96422,ATP,I09,Cy5,Unkn-53,Unk,23.7924861848928,51.5664527124318,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,51.5664527124308,53.26481642386629,5.7075198307256185,23.750153889010374,0.16274694174485047,94.03659168891471,1.2213078547493548,0.13175607741648745,,,,,10
96422_10,96422,EIF,I09,HEX,Unkn-53,Unk,24.8300447329198,50.8343727856882,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,50.834372785690064,52.05600818808763,4.444820729526841,24.7967826245991,0.13254761427594675,88.43220810680386,1.2080579812937677,0.1014502236403192,,,,,10
96422_10,96422,SOD1,I09,FAM,Unkn-53,Unk,22.5759288495932,54.8593218614631,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,54.85932186146243,54.660525852741785,5.408141045136237,22.58718865101515,0.1524397699723347,90.94998848889404,1.267158197663546,0.12494730948382701,1.2146648515317826,0.08303065931690783,1.0432163210004515,0.1251662932738553,10
96422_100,96422,ATP,I05,Cy5,Unkn-51,Unk,23.7807207632379,51.970192974288,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,51.97019297428847,48.83079417030457,3.1352831201188804,23.877113762148248,0.09880941619480542,94.03659168891471,1.1227303948639082,0.07353709738958057,,,,,100
96422_100,96422,EIF,I05,HEX,Unkn-51,Unk,24.8412208507037,50.4756945058939,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,50.47569450589499,49.491913110278546,2.168955917492429,24.8734420311703,0.06999515759875483,88.43220810680386,1.1507859459562946,0.051033559380691706,,,,,100
96422_100,96422,SOD1,I05,FAM,Unkn-51,Unk,22.5800953133835,54.7116727819285,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,54.71167278192806,53.468432584868566,1.3163616312389546,22.6159821311914,0.03807750492298534,90.94998848889404,1.2437760319585893,0.030634334700894186,1.1366716146307811,0.044954882381536866,1.094226349940654,0.050982155634727265,100
96422_1000,96422,ATP,I01,Cy5,Unkn-49,Unk,23.7637021078968,52.5598021613794,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,52.559802161379565,51.54952357829132,3.4640470160720267,23.795654360637926,0.10486154028889559,94.03659168891471,1.185021715780418,0.08237116565782822,,,,,1000
96422_1000,96422,EIF,I01,HEX,Unkn-49,Unk,24.7464174814802,53.6003884730293,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,53.60038847303007,53.05183388530491,1.6189529987733853,24.763203216699875,0.04804241447222781,88.43220810680386,1.2340345683874614,0.03756171954699713,,,,,1000
96422_1000,96422,SOD1,I01,FAM,Unkn-49,Unk,22.6003536258942,53.9994125864,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,53.99941258639939,51.881844344240314,1.4496465878641103,22.662644962537726,0.04270659741709508,90.94998848889404,1.206795488449396,0.033336993893801285,1.209279852458833,0.045881599995508594,0.997945583890788,0.04683593981286302,1000
